19,7956
39,24754
34,195894
4,17317
71,56994
66,287424
80,16443
65,70238
35,52077
11,300196
14,8442
24,348070
37,7095
74,379246
1,43615
90,53029
89,99265
17,52841
20,265600
12,67856
38,268898
18,170482
63,69353
41,37535
21,439321
77,24770
53,135205
22,80776
25,20893
59,306465
46,93160
62,47510
33,26079
23,545958
40,50790
6,28245
69,163444
67,108083
3,321942
86,249550
58,76906
60,157381
85,73928
91,30775
31,11848
26,9995
87,225735
5,18403
2,85587
13,281792
52,57352
81,7475
16,229289
55,27235
82,62531
28,16034
29,24592
79,64768
54,40889
30,62083
50,55441
92,45775
36,41265
64,15414
57,150548
75,24140
51,200419
45,561773
83,485111
72,75014
70,62035
9,195076
49,43201
78,581706
10,316356
43,107297
84,208899
61,6603
56,44999
15,380160
76,162425
47,117300
48,136077
73,5694
32,23139
27,250860
0,65617
42,181811
8,27131
7,211212
44,44242
88,4044
68,39763
